loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1537844487.679757,136,0,2587.533587125,0.44140625,-0.161102294921875,-1.751739501953125,2587.539870125,-1.547036136181428,1.473198663378436,0.6730921275965888,0
1537844487.68022,137,0,2587.543396125,0.5011138916015625,-0.0756988525390625,-2.012176513671875,,,,,0
1537844487.680651,138,0,2587.553207125,0.5458221435546875,-0.0107574462890625,-2.204910278320312,2587.549879125,-0.8758801266973264,0.5231625498117439,0.5539228593504861,0
1537844487.681127,139,0,2587.562994125,0.54156494140625,0.00439453125,-2.291915893554688,2587.559888125,-0.02424009224190123,-0.4993914402378056,0.4051842472051246,0
1537844487.681521,140,0,2587.572805125,0.490631103515625,-0.04034423828125,-2.262054443359375,2587.569892125,0.8001265094900225,-1.341356476769082,0.2782502664847869,0
1537844487.681882,141,0,2587.582607125,0.3981475830078125,-0.1328125,-2.129425048828125,2587.579889125,1.375854532897751,-1.925661476783519,0.235266580174799,0
1537844487.682236,142,0,2587.592413125,0.294036865234375,-0.259918212890625,-1.943496704101562,2587.589908125,1.656389258965607,-2.325594769267334,0.2645861195638083,0
1537844487.682596,143,0,2587.602209125,0.2137451171875,-0.385650634765625,-1.711883544921875,2587.599912125,1.665516444653527,-2.436529543422912,0.3198517721890237,0
1537844487.682967,144,0,2587.612011125,0.1387176513671875,-0.50115966796875,-1.464981079101562,2587.609919125,1.464088788237602,-2.141004416211217,0.3688411530732493,0
1537844487.683331,145,0,2587.621815125,0.0565032958984375,-0.6183013916015625,-1.230911254882812,2587.619929125,1.115744654494147,-1.489421309158653,0.3550497070521649,0
1537844487.683601,146,0,2587.631630125,-0.033172607421875,-0.7175445556640625,-1.034210205078125,,,,,0
1537844487.683905,147,0,2587.641431125,-0.096923828125,-0.7747039794921875,-0.9098968505859375,2587.629933125,0.7211749684457515,-0.7969296509174914,0.2840072218132112,0
